Company/Entity Name,Article Title,Article URL,Snippet,Category
Jio / Airtel,"Jio leads India's 5G user growth, widens gap over Airtel",https://www.voicendata.com/5g/jio-leads-indias-5g-user-growth-widens-gap-over-airtel-10913705,"Jio added 144M 5G users vs Airtel 102M in 2 years, leads in FWA and UBR subscriber growth.",5G rollout & operator strategy
Jio / Ookla,"Jio's 5G dominated Maha Kumbh Mela 2025, says Ookla",https://www.voicendata.com/news/jios-5g-dominated-maha-kumbh-mela-2025-says-ookla-8840077,Ookla reports Jio 5G 83.9% availability vs Airtel 42.4% at Kumbh Mela with 201 Mbps median speed.,5G rollout & operator strategy
DoT / Jio / Airtel,"With over 1 lakh 5G BTS deployed, India has the fastest 5G rollout",https://www.voicendata.com/with-over-1-lakh-5g-bts-deployed-india-has-the-fastest-5g-rollout/,"DoT data shows 1,02,215 5G BTS as of March 2023, Maharashtra leads, Jio 17,687 vs Airtel 3,293 in Nov 2022.",5G rollout & operator strategy
Jio / Airtel / Vi,"India adds 52,776 5G BTS in 2024, slow growth for 5G rollout",https://www.voicendata.com/news/india-adds-52776-5g-bts-in-2024-slow-growth-for-5g-rollout-8624145,"Total 5G BTS 464,990 by Dec 2024, Jio SA leads, Airtel NSA cost-effective, Vi to lead 2026.",5G rollout & operator strategy
Vi,Vi expands 5G rollout to 23 additional cities across India,https://www.voicendata.com/5g/vi-expands-5g-rollout-to-23-additional-cities-across-india-9450737,"Vi launches 5G in 23 cities including Ahmedabad, Jaipur, Kolkata, unlimited 5G on Rs 299 plans.",5G rollout & operator strategy
Airtel / Jio / Vi,"Airtel and Jio dominate national 5G metrics, Vi makes regional gains",https://www.voicendata.com/research/airtel-and-jio-dominate-national-5g-metrics-vi-makes-regional-gains-9337991,"Opensignal: Airtel leads 5G video/gaming speed, Jio leads availability, Vi now in 4 circles and on par in Mumbai.",5G rollout & operator strategy
TRAI,Spectrum sharing as a solution,https://www.voicendata.com/spectrum-sharing-solution/,TRAI allows spectrum sharing in 800-2500 MHz bands with 0.5% additional SUC to improve efficiency.,Telecom spectrum & TRAI regulation
TRAI / DoT / BSNL,TRAI rejects lower satcom spectrum fees for BSNL,https://www.voicendata.com/news/trai-rejects-lower-satcom-spectrum-fees-for-bsnl-10914604,"TRAI says BSNL must pay 4% AGR like others for satcom, overturns DoT proposal of 1% to ensure level playing field.",Telecom spectrum & TRAI regulation
TRAI / DoT,TRAI outlines spectrum charges and conditions for Satcom services,https://www.voicendata.com/news/trai-outlines-spectrum-charges-and-conditions-for-satcom-services-9052398,"TRAI proposes Rs 3500 per MHz annual fee plus 4% AGR for satcom, 5-year validity with 2-year extension.",Telecom spectrum & TRAI regulation
TRAI / COAI,TRAI rejects COAI's recommendations on satcom spectrum allocation,https://www.voicendata.com/news/trai-rejects-coais-recommendations-on-satcom-spectrum-allocation-9337574,TRAI sticks to 4% AGR administrative allocation for satcom despite COAI objections from Jio and Airtel.,Telecom spectrum & TRAI regulation
