Company/Entity Name,Article Title,Article URL,Snippet,Category
Government of India,"Digital India at 11: Key Achievements, Challenges, and Future Priorities",https://www.dqindia.com/government-policy/digital-india-11-years-achievements-challenges-road-ahead-12128556,"11-year review of Digital India covering UPI, BharatNet, DigiLocker and next phase AI and semiconductor push.",Government digital initiatives
MeitY / India Semiconductor Mission,India approves 12 chip manufacturing projects with Rs 1.64 lakh crore investment pipeline,https://www.dqindia.com/semiconductors/india-approves-12-chip-manufacturing-projects-with-rs-164-lakh-crore-investment-pipeline-12114989,ISM approves 12 projects including fab and 9 packaging units with Rs 1.64 lakh crore pipeline.,Semiconductor & chip manufacturing
All Time IT / HP,All Time IT to launch cloud services with HP,https://www.dqindia.com/all-time-it-to-launch-cloud-services-with-hp/,AllTimeIT launches EFFICLOUD pay-per-use cloud on HP CloudSystem Matrix for SMB and enterprise IaaS/PaaS/SaaS.,Enterprise IT & cloud services
BFSI / Cognizant / Gartner,BFSI takes a digital leap,https://www.dqindia.com/bfsi-takes-a-digital-leap/,"Analysis of BFSI IT spend, core banking refresh and shift to mobile and self-service digital banking.",BFSI digital transformation
Wipro / ServiceNow,"Wipro, ServiceNow Deepen Alliance to Drive Enterprise Adoption of Agentic AI",https://www.dqindia.com/news/wipro-expands-servicenow-partnership-to-scale-agentic-ai-across-enterprise-functions-11885937,"Wipro integrates Wipro Intelligence with ServiceNow AI Platform to deploy agentic AI across IT, HR, procurement.",AI/ML enterprise adoption
MeitY,MEITY celebrates 5 years of Digital Bharat and Aatma Nirbhar Bharat,https://www.dqindia.com/meity-celebrates-5-years-digital-bharat-aatma-nirbhar-bharat/,"MeitY 5-year celebration highlighting Aadhaar, UPI, DigiLocker, GeM and push for Made in India apps.",Government digital initiatives
Cloudera,Cloudera Launches Enterprise Data Cloud Platform,https://www.dqindia.com/cloudera-launches-enterprise-data-cloud-platform/,"Cloudera launches CDP with Data Warehouse, ML and Data Hub services for hybrid cloud analytics governance.",Enterprise IT & cloud services
Micron,Micron celebrates opening of India's first semiconductor assembly and test facility,https://www.dqindia.com/esdm/micron-celebrates-opening-of-indias-first-semiconductor-assembly-and-test-facility-11167495,Micron opens Sanand ATMP facility with 500k sq ft cleanroom and $2.75B investment for AI-driven memory demand.,Semiconductor & chip manufacturing
Government of India,Cabinet approves Semicon 2.0 with Rs. 1.27 lakh crore push for India's chip design and manufacturing,https://www.dqindia.com/semiconductors/cabinet-approves-semicon-20-government-delivers-on-commitment-for-long-term-policy-support-to-semiconductors-in-india-12166952,"Semicon 2.0 six-pillar strategy covering design, materials, fabs, ATMP, R&D and talent with Rs 1.27 lakh crore outlay.",Semiconductor & chip manufacturing
Zoho,Why Enterprise AI won't be Plug-and-Play,https://www.dqindia.com/interview/why-enterprise-ai-wont-be-plug-and-play-10063647,"Zoho AI Research Director explains why enterprise AI needs plumbing, data unification and privacy-first LLMs.",AI/ML enterprise adoption
Xebia,Xebia is driving enterprise-scale digital transformation: Varun Jain,https://www.dqindia.com/interview/xebia-is-driving-enterprise-scale-digital-transformation-varun-jain-8827073,Interview on Xebia's cloud-native and GenAI focus for BFSI with 30% scalability gains via cloud migration.,BFSI digital transformation
Infosys / Google Cloud,Infosys Partners with Google Cloud to Develop Data Native Intelligent Enterprise,https://www.dqindia.com/infosys-partners-google-cloud-develop-data-native-intelligent-enterprise/,Infosys and GCP launch Data Native Intelligent Enterprise and Digital Brain with AI-driven analytics workbench.,Enterprise IT & cloud services
HPE,HPE accelerates AI innovation with enterprise-grade solution,https://www.dqindia.com/hpe-accelerates-ai-innovation-enterprise-grade-solution/,HPE launches ML Ops container solution to standardize ML lifecycle and accelerate AI deployment.,AI/ML enterprise adoption
Snowflake / Anthropic,Snowflake and Anthropic Push AI Agents Into Enterprise Workflows,https://www.dqindia.com/data-and-ai/snowflake-anthropic-enterprise-ai-adoption-governed-ai-cortex-ai-11902200,Claude models via Snowflake Cortex AI for governed enterprise AI agents in cybersecurity and finance.,AI/ML enterprise adoption
MeitY / BharatNet,2.5 lakh gram panchayats to get full internet coverage under Bharat Net by 2018,https://www.dqindia.com/2-5-lakh-gram-panchayats-to-get-full-internet-coverage-under-bharat-net-by-2018/,Government announces BharatNet Phase 1 to connect 2.5 lakh gram panchayats via optical fibre for less-cash economy.,Government digital initiatives
HPE / Microsoft,Hewlett Packard enterprise and Microsoft announce plans to deliver integrated hybrid IT infrastructure,https://www.dqindia.com/hewlett-packard-enterprise-and-microsoft-announce-plans-to-deliver-integrated-hybrid-it-infrastructure/,HPE and Azure partnership for hybrid cloud with Hyper-Converged 250 and Azure as preferred public cloud.,Enterprise IT & cloud services
SEMI / India Semiconductor Mission,SEMI forecasts record semiconductor equipment spending as India deepens chip ambitions,https://www.dqindia.com/government-policy/ai-drives-record-global-semiconductor-equipment-spending-india-ism-2-0-12170968,"SEMI projects $165.9B equipment spend in 2026 as ISM 2.0 boosts India's equipment, materials and supply chain role.",Semiconductor & chip manufacturing
HPE,Hewlett Packard Enterprise expands Helion Cloud Portfolio,https://www.dqindia.com/hewlett-packard-enterprise-expands-helion-cloud-portfolio/,HPE Helion Cloud Suite and CloudSystem 10 for hybrid cloud management across traditional and cloud-native apps.,Enterprise IT & cloud services
India Semiconductor Ecosystem,India emerges as global hub for semiconductor design and R&D,https://www.dqindia.com/esdm/india-emerges-as-global-hub-for-semiconductor-design-and-rd-11224456,India hosts 7% of global semiconductor GCCs and 20% of chip design workforce with 24 DLI projects approved.,Semiconductor & chip manufacturing
Oracle,Oracle Swells its Enterprise Cloud Portfolio,https://www.dqindia.com/oracle-swells-its-enterprise-cloud-portfolio/,"Oracle adds 24+ services including Database Cloud Exadata, Big Data Cloud and Integration Cloud to Oracle Cloud Platform.",Enterprise IT & cloud services
