Company/Entity Name,Article Title,Article URL,Snippet,Category
Smartphones,Choose the Best Smartphone: List of 30+ Mobiles,https://www.pcquest.com/choose-the-best-smartphone-list-of-30-mobiles/,"Buying guide covering processor, RAM, display, camera, battery for 30+ mobiles from budget to flagship.",Smartphones
Infinix,"Infinix GT 30 Pro: What makes the latest Infinix phone, a gaming phone?",https://www.pcquest.com/smartphones/infinix-gt-30-pro-what-makes-the-latest-infinix-phone-a-gaming-phone-9308720,"144Hz AMOLED, 520Hz shoulder triggers, RGB LEDs, Dimensity 8350 Ultimate, 120fps BGMI support.",Smartphones
OnePlus,OnePlus Turbo: Is this OnePlus' first true gaming phone?,https://www.pcquest.com/smartphones/oneplus-turbo-is-this-oneplus-first-true-gaming-phone-10947059,"Leak reveals 9000mAh silicon-carbon battery, Snapdragon 8s Gen 4, 165Hz BOE OLED for gaming.",Smartphones
Motorola,Motorola Signature long term review: Slim flagship that still holds up,https://www.pcquest.com/reviews/motorola-signature-long-term-review-11833097,"3-month review: 7mm slim, 6.8-inch 165Hz LTPO, Snapdragon 8 Gen 5, 50W wireless, heating and camera quirks.",Smartphones
PCQuest,Best smartphones of 2025: Is your phone on the premium list?,https://www.pcquest.com/smartphones/best-smartphones-of-2025-is-your-phone-on-the-premium-list/,Premium list including iPhone 17 with 120Hz LTPO OLED and larger battery for workplace and content creation.,Smartphones
Smartphones,June 2026 smartphone launches in India are changing what buyers can expect,https://www.pcquest.com/smartphones/june-2026-smartphone-launches-in-india-are-changing-what-buyers-can-expect/,June 2026 cycle unusually competitive with flagships and budget launches arriving together.,Smartphones
Gaming - Infinix,Infinix GT 30 Pro gaming features deep dive,https://www.pcquest.com/smartphones/infinix-gt-30-pro-what-makes-the-latest-infinix-phone-a-gaming-phone-9308720,XBoost Gaming Engine and AI VC cooling for consistent peak performance during long sessions.,Gaming
Gaming - OnePlus,OnePlus Turbo massive battery and 165Hz display for gaming,https://www.pcquest.com/smartphones/oneplus-turbo-is-this-oneplus-first-true-gaming-phone-10947059,"9,000mAh battery with 100W charging and Fengchi gaming kernel positions Turbo vs ROG Phone 8.",Gaming
Gaming Laptops,"5 Best Gaming Laptops Under Rs 60,000",https://www.pcquest.com/computers-laptops/5-best-gaming-laptops-under-60000/,"Infinix GT Book, Lenovo LOQ, Acer ALG with RTX 3050, 144Hz panels for budget gaming.",Gaming
Gaming Laptops,Best gaming laptop under 60000 in India,https://www.pcquest.com/computers-laptops/best-gaming-laptop-under-60000-in-india-8948058,"GTBook punches above price with RTX 3050 and 16-inch WUXGA, Victus synonymous with value gaming.",Gaming
Gaming - Ubisoft,Assassin's Creed Black Flag Resynced Gameplay Leaks - PS5 Pro Footage Surfaces,https://www.pcquest.com/gaming/assassins-creed-black-flag-resynced-gameplay-leaks-ps5-pro-footage-surfaces/,"Resynced version releasing July 9 2026 for PS5, Xbox Series X/S, PC, 4-hour leak acknowledged.",Gaming
Gaming - Industry,Impact of cloud gaming on the Industry,https://www.pcquest.com/gaming/impact-of-cloud-gaming-on-the-industry/,"Mobile gaming advancements, hyper-casual growth and cloud enabling rapid user base growth.",Gaming
Cybersecurity,Internal Audit and its Larger Role In Enhancing Cybersecurity,https://www.pcquest.com/internal-audit-larger-role-enhancing-cybersecurity/,"Three lines of defence model, IIA report on internal audit as trusted cyber-adviser post WannaCry.",Cybersecurity
Cybersecurity / AI,How AI Is Revolutionizing Cybersecurity (And Why You Should Care),https://www.pcquest.com/security-products/how-ai-is-revolutionizing-cybersecurity-7318445,"AI for real-time network traffic analysis, anomaly detection for zero-day, Darktrace ransomware case.",Cybersecurity
